Title,Year,RunTime,Rating,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
Memento,2000,113,8.4,1188896,25.54,Christopher Nolan, Guy Pearce,  Carrie-Anne Moss,  Joe Pantoliano,  Mark Boone Junior
One Flew Over the Cuckoo's Nest,1975,133,8.7,969223,112.0,Milos Forman, Jack Nicholson,  Louise Fletcher,  Michael Berryman,  Peter Brocco
Finding Nemo,2003,100,8.1,1000902,380.84,"Andrew Stanton,  Lee Unkrich", Albert Brooks,  Ellen DeGeneres,  Alexander Gould,  Willem Dafoe
To Kill a Mockingbird,1962,129,8.2,308050,,Robert Mulligan, Gregory Peck,  John Megna,  Frank Overton,  Rosemary Murphy
The Apartment,1960,125,8.3,175347,18.6,Billy Wilder, Jack Lemmon,  Shirley MacLaine,  Fred MacMurray,  Ray Walston
A Silent Voice: The Movie,2016,130,8.2,69633,,Naoko Yamada, Miyu Irino,  Saori Hayami,  Aoi Yûki,  Kenshô Ono
Hacksaw Ridge,2016,139,8.1,485087,67.21,Mel Gibson, Andrew Garfield,  Sam Worthington,  Luke Bracey,  Teresa Palmer
Capernaum,2018,126,8.4,80506,1.66,Nadine Labaki, Zain Al Rafeea,  Yordanos Shiferaw,  Boluwatife Treasure Bankole,  Kawsar Al Haddad
Inception,2010,148,8.8,2223040,292.58,Christopher Nolan, Leonardo DiCaprio,  Joseph Gordon-Levitt,  Elliot Page,  Ken Watanabe
M,1931,99,8.3,153057,0.03,Fritz Lang, Peter Lorre,  Ellen Widmann,  Inge Landgut,  Otto Wernicke
High and Low,1963,143,8.4,41270,,Akira Kurosawa, Toshirô Mifune,  Yutaka Sada,  Tatsuya Nakadai,  Kyôko Kagawa
Fanny and Alexander,1982,188,8.1,62347,4.97,Ingmar Bergman, Bertil Guve,  Pernilla Allwin,  Kristina Adolphson,  Börje Ahlstedt
Forrest Gump,1994,142,8.8,1952353,330.25,Robert Zemeckis, Tom Hanks,  Robin Wright,  Gary Sinise,  Sally Field
Goodfellas,1990,146,8.7,1094223,46.84,Martin Scorsese, Robert De Niro,  Ray Liotta,  Joe Pesci,  Lorraine Bracco
The Deer Hunter,1978,183,8.1,329197,48.98,Michael Cimino, Robert De Niro,  Christopher Walken,  John Cazale,  John Savage
Spider-Man: Into the Spider-Verse,2018,117,8.4,463052,190.24,"Bob Persichetti,  Peter Ramsey,  Rodney Rothman", Shameik Moore,  Jake Johnson,  Hailee Steinfeld,  Mahershala Ali
City of God,2002,130,8.6,732072,7.56,"Fernando Meirelles,  Kátia Lund", Alexandre Rodrigues,  Leandro Firmino,  Matheus Nachtergaele,  Phellipe Haagensen
A Beautiful Mind,2001,135,8.2,896175,170.74,Ron Howard, Russell Crowe,  Ed Harris,  Jennifer Connelly,  Christopher Plummer
Spirited Away,2001,125,8.6,713393,10.06,Hayao Miyazaki, Daveigh Chase,  Suzanne Pleshette,  Miyu Irino,  Rumi Hiiragi
Ben-Hur,1959,212,8.1,231927,74.7,William Wyler, Charlton Heston,  Jack Hawkins,  Stephen Boyd,  Haya Harareet
Die Hard,1988,132,8.2,846060,83.01,John McTiernan, Bruce Willis,  Alan Rickman,  Bonnie Bedelia,  Reginald VelJohnson
3 Idiots,2009,170,8.4,376448,6.53,Rajkumar Hirani, Aamir Khan,  Madhavan,  Mona Singh,  Sharman Joshi
There Will Be Blood,2007,158,8.2,557410,40.22,Paul Thomas Anderson, Daniel Day-Lewis,  Paul Dano,  Ciarán Hinds,  Martin Stringer
The Usual Suspects,1995,106,8.5,1045626,23.34,Bryan Singer, Kevin Spacey,  Gabriel Byrne,  Chazz Palminteri,  Stephen Baldwin
Good Will Hunting,1997,126,8.3,920086,138.43,Gus Van Sant, Robin Williams,  Matt Damon,  Ben Affleck,  Stellan Skarsgård
It's a Wonderful Life,1946,130,8.6,438122,,Frank Capra, James Stewart,  Donna Reed,  Lionel Barrymore,  Thomas Mitchell
The Bandit,1996,128,8.2,68841,,Yavuz Turgul, Sener Sen,  Ugur Yücel,  Sermin Hürmeriç,  Yesim Salkim
Z,1969,127,8.2,27174,0.08,Costa-Gavras, Yves Montand,  Irene Papas,  Jean-Louis Trintignant,  François Périer
Grave of the Fireflies,1988,89,8.5,259703,,Isao Takahata, Tsutomu Tatsumi,  Ayano Shiraishi,  Akemi Yamaguchi,  Yoshiko Shinohara
The Thing,1982,109,8.1,401869,13.78,John Carpenter, Kurt Russell,  Wilford Brimley,  Keith David,  Richard Masur
The Lion King,1994,88,8.5,1004327,422.78,"Roger Allers,  Rob Minkoff", Matthew Broderick,  Jeremy Irons,  James Earl Jones,  Whoopi Goldberg
Blade Runner,1982,117,8.1,736925,32.87,Ridley Scott, Harrison Ford,  Rutger Hauer,  Sean Young,  Edward James Olmos
Hotel Rwanda,2004,121,8.1,347420,23.53,Terry George, Don Cheadle,  Sophie Okonedo,  Joaquin Phoenix,  Xolani Mali
Jurassic Park,1993,127,8.1,927825,402.45,Steven Spielberg, Sam Neill,  Laura Dern,  Jeff Goldblum,  Richard Attenborough
12 Years a Slave,2013,134,8.1,675338,56.67,Steve McQueen, Chiwetel Ejiofor,  Michael Kenneth Williams,  Michael Fassbender,  Brad Pitt
Indiana Jones and the Last Crusade,1989,127,8.2,728457,197.17,Steven Spielberg, Harrison Ford,  Sean Connery,  Alison Doody,  Denholm Elliott
Saving Private Ryan,1998,169,8.6,1320507,216.54,Steven Spielberg, Tom Hanks,  Matt Damon,  Tom Sizemore,  Edward Burns
"Lock, Stock and Two Smoking Barrels",1998,107,8.2,563734,3.9,Guy Ritchie, Jason Flemyng,  Dexter Fletcher,  Nick Moran,  Jason Statham
The Intouchables,2011,112,8.5,815134,13.18,"Olivier Nakache,  Éric Toledano", François Cluzet,  Omar Sy,  Anne Le Ny,  Audrey Fleurot
Ford v Ferrari,2019,152,8.1,351575,117.62,James Mangold, Matt Damon,  Christian Bale,  Jon Bernthal,  Caitriona Balfe
Requiem for a Dream,2000,102,8.3,807807,3.64,Darren Aronofsky, Ellen Burstyn,  Jared Leto,  Jennifer Connelly,  Marlon Wayans
The Secret in Their Eyes,2009,129,8.2,203822,6.39,Juan José Campanella, Ricardo Darín,  Soledad Villamil,  Pablo Rago,  Carla Quevedo
Into the Wild,2007,148,8.1,603802,18.35,Sean Penn, Emile Hirsch,  Vince Vaughn,  Catherine Keener,  Marcia Gay Harden
Trainspotting,1996,93,8.1,665213,16.5,Danny Boyle, Ewan McGregor,  Ewen Bremner,  Jonny Lee Miller,  Kevin McKidd
Prisoners,2013,153,8.1,658598,61.0,Denis Villeneuve, Hugh Jackman,  Jake Gyllenhaal,  Viola Davis,  Melissa Leo
American Beauty,1999,122,8.3,1118927,130.1,Sam Mendes, Kevin Spacey,  Annette Bening,  Thora Birch,  Wes Bentley
Gone Girl,2014,149,8.1,931030,167.77,David Fincher, Ben Affleck,  Rosamund Pike,  Neil Patrick Harris,  Tyler Perry
Mad Max: Fury Road,2015,120,8.1,948898,154.06,George Miller, Tom Hardy,  Charlize Theron,  Nicholas Hoult,  Zoë Kravitz
Gran Torino,2008,116,8.1,752319,148.1,Clint Eastwood, Clint Eastwood,  Bee Vang,  Christopher Carley,  Ahney Her
The Seventh Seal,1957,96,8.2,178703,,Ingmar Bergman, Max von Sydow,  Gunnar Björnstrand,  Bengt Ekerot,  Nils Poppe
Ran,1985,162,8.2,121463,4.14,Akira Kurosawa, Tatsuya Nakadai,  Akira Terao,  Jinpachi Nezu,  Daisuke Ryû
Bicycle Thieves,1948,89,8.3,158341,0.33,Vittorio De Sica, Lamberto Maggiorani,  Enzo Staiola,  Lianella Carell,  Elena Altieri
Sardar Udham,2021,164,8.7,34889,,Shoojit Sircar, Vicky Kaushal,  Banita Sandhu,  Shaun Scott,  Stephen Hogan
Avengers: Infinity War,2018,149,8.4,970566,678.82,"Anthony Russo,  Joe Russo", Robert Downey Jr.,  Chris Hemsworth,  Mark Ruffalo,  Chris Evans
Citizen Kane,1941,119,8.3,428750,1.59,Orson Welles, Orson Welles,  Joseph Cotten,  Dorothy Comingore,  Agnes Moorehead
How to Train Your Dragon,2010,98,8.1,706513,217.58,"Dean DeBlois,  Chris Sanders", Jay Baruchel,  Gerard Butler,  Christopher Mintz-Plasse,  Craig Ferguson
Wild Tales,2014,122,8.1,190331,3.11,Damián Szifron, Darío Grandinetti,  María Marull,  Mónica Villa,  Diego Starosta
Life of Brian,1979,94,8.1,387536,20.05,Terry Jones, Graham Chapman,  John Cleese,  Michael Palin,  Terry Gilliam
The Elephant Man,1980,124,8.1,233795,,David Lynch, Anthony Hopkins,  John Hurt,  Anne Bancroft,  John Gielgud
Catch Me If You Can,2002,141,8.1,914184,164.62,Steven Spielberg, Leonardo DiCaprio,  Tom Hanks,  Christopher Walken,  Martin Sheen
Wild Strawberries,1957,91,8.2,103991,,Ingmar Bergman, Victor Sjöström,  Bibi Andersson,  Ingrid Thulin,  Gunnar Björnstrand
