id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
771776079617148623,Home in Buncombe County · 4 bedrooms · 6 beds · 3 baths,477404819,John,,28805,35.64263,-82.45974,Entire home/apt,404,2,0,,,7,309,0,
771793196571267930,Cabin in Buncombe County · Studio · 3 beds · 1 bath,477404819,John,,28805,35.63945,-82.45748,Entire home/apt,165,2,0,,,7,302,0,
772322471090299421,Condo in Asheville · ★5.0 · 3 bedrooms · 3 beds · 3 baths,134903005,Carolina Mornings,,28801,35.59513567,-82.5532102,Entire home/apt,420,1,9,2023-08-19,1.65,39,336,9,
773240222646224667,Home in Asheville · 2 bedrooms · 1 bed · 2 baths,10603047,Greybeard,,28801,35.59955,-82.55712,Entire home/apt,105,28,1,2023-07-31,0.67,13,42,1,
773788380430567812,Home in Asheville · ★4.88 · 1 bedroom · 1 bed · 1 bath,20475301,Paige & Nathan,,28806,35.56631,-82.59727,Entire home/apt,99,1,32,2023-08-27,3.47,2,282,32,
774545010096556204,Camper/RV in Asheville · ★4.91 · 2 bedrooms · 2 beds · 1 bath,404069536,Travis,,28806,35.54666,-82.6325,Entire home/apt,88,1,75,2023-09-11,8.04,1,321,75,
774781482022487824,Tiny home in Asheville · ★4.95 · 1 bedroom · 1 bed · 1 bath,35911236,Kelly,,28806,35.58463,-82.6384,Entire home/apt,87,1,40,2023-09-04,4.44,1,33,40,
775404892024131437,Rental unit in Asheville · ★5.0 · 2 bedrooms · 3 beds · 1.5 baths,490356742,Mary And Dean,,28803,35.56236,-82.51616,Entire home/apt,105,2,23,2023-09-10,3.75,1,120,23,
775748870746145651,Rental unit in Asheville · ★4.75 · Studio · 1 bed · 1 bath,67482091,Hannah,,28804,35.6406,-82.52923,Entire home/apt,100,2,8,2023-07-21,1.66,1,349,8,
776014861241735902,Home in Asheville · 2 bedrooms · 2 beds · 1 bath,10603047,Greybeard,,28805,35.59026,-82.53694,Entire home/apt,89,28,0,,,13,73,0,
776745452894507466,Tiny home in Asheville · ★4.89 · 1 bedroom · 1 bed · 1 bath,92205365,Erin,,28806,35.58527,-82.63962,Entire home/apt,153,2,18,2023-09-10,2.90,1,37,18,
778873616930822906,Cabin in Asheville · 2 bedrooms · 2 beds · 2 baths,43536868,Beth,,28805,35.6217642,-82.4718343,Entire home/apt,299,2,2,2023-06-24,0.64,1,102,2,
779598253679590567,Home in Asheville · ★5.0 · 2 bedrooms · 4 beds · 3.5 baths,491036649,Meg,,28801,35.58734,-82.55068,Entire home/apt,437,1,34,2023-09-10,4.34,1,68,34,
779831052182176019,Home in Asheville · ★4.86 · 5 bedrooms · 7 beds · 2.5 baths,143748636,Amanda,,28805,35.60702,-82.48024,Entire home/apt,220,3,21,2023-09-04,3.52,1,193,21,
780141460555894020,Rental unit in Asheville · Studio · 1 bed · 1 bath,33042122,John,,28801,35.5984992,-82.5550576,Entire home/apt,500,2,0,,,3,0,0,
780534535309829961,Home in Asheville · 4 bedrooms · 4 beds · 4 baths,339683895,Alison Landers &,,28801,35.60236,-82.55098,Entire home/apt,1750,3,0,,,2,351,0,
781256446206601299,Home in Asheville · ★4.90 · 3 bedrooms · 4 beds · 2 baths,84731971,Hisham And Natalie,,28803,35.55778248625883,-82.47381424603273,Entire home/apt,189,1,41,2023-08-20,5.32,1,292,41,
781418110690128742,Home in Asheville · 2 bedrooms · 2 beds · 1 bath,53882937,Torey,,28806,35.57503,-82.59506,Entire home/apt,119,5,2,2023-04-01,0.23,1,274,2,
782690732521177969,Guesthouse in Asheville · ★4.83 · 1 bedroom · 1 bed · 1 bath,491579319,Austin,,28805,35.6152141,-82.52615139999999,Entire home/apt,95,2,24,2023-09-03,2.82,1,342,24,
783200712500479389,Home in Asheville · ★4.97 · 3 bedrooms · 4 beds · 2 baths,241015464,Mackenzie,,28806,35.6066,-82.61182,Entire home/apt,237,2,30,2023-09-04,3.52,1,260,30,
783468485250196758,Tiny home in Asheville · ★5.0 · 1 bedroom · 2 beds · 1 bath,10783827,Nataliya,,28806,35.58865,-82.63657,Entire home/apt,263,2,40,2023-08-13,5.13,1,117,40,
